wavenumber         DET0         DET1
     -50.1     0.004952     0.004825
     -50.0     0.004946     0.004845
     -49.9     0.004937     0.004868
     -49.8     0.004925     0.004892
     -49.7     0.004912     0.004916
     -49.6     0.004896     0.004940
     -49.5     0.004879     0.004965
     -49.4     0.004860     0.004990
     -49.3     0.004840     0.005016
     -49.2     0.004820     0.005041
     -49.1     0.004800     0.005066
     -49.0     0.004780     0.005090
     -48.9     0.004759     0.005115
     -48.8     0.004739     0.005140
     -48.7     0.004721     0.005162
     -48.6     0.004704     0.005185
     -48.5     0.004689     0.005206
     -48.4     0.004676     0.005227
     -48.3     0.004664     0.005247
     -48.2     0.004655     0.005264
     -48.1     0.004649     0.005280
     -48.0     0.004645     0.005294
     -47.9     0.004644     0.005308
     -47.8     0.004645     0.005319
     -47.7     0.004649     0.005328
     -47.6     0.004656     0.005336
     -47.5     0.004665     0.005342
     -47.4     0.004678     0.005348
     -47.3     0.004692     0.005352
     -47.2     0.004708     0.005355
     -47.1     0.004727     0.005358
     -47.0     0.004747     0.005361
     -46.9     0.004770     0.005365
     -46.8     0.004795     0.005369
     -46.7     0.004819     0.005373
     -46.6     0.004846     0.005378
     -46.5     0.004874     0.005384
     -46.4     0.004904     0.005392
     -46.3     0.004935     0.005400
     -46.2     0.004966     0.005409
     -46.1     0.004998     0.005419
     -46.0     0.005030     0.005430
     -45.9     0.005066     0.005442
     -45.8     0.005102     0.005454
     -45.7     0.005137     0.005466
     -45.6     0.005175     0.005479
     -45.5     0.005212     0.005491
     -45.4     0.005253     0.005505
     -45.3     0.005295     0.005518
     -45.2     0.005336     0.005531
     -45.1     0.005379     0.005545
     -45.0     0.005422     0.005558
     -44.9     0.005468     0.005573
     -44.8     0.005515     0.005587
     -44.7     0.005560     0.005602
     -44.6     0.005606     0.005617
     -44.5     0.005652     0.005633
     -44.4     0.005699     0.005649
     -44.3     0.005746     0.005667
     -44.2     0.005790     0.005685
     -44.1     0.005834     0.005703
     -44.0     0.005875     0.005723
     -43.9     0.005918     0.005745
     -43.8     0.005958     0.005768
     -43.7     0.005995     0.005792
     -43.6     0.006030     0.005819
     -43.5     0.006063     0.005847
     -43.4     0.006096     0.005880
     -43.3     0.006126     0.005915
     -43.2     0.006153     0.005953
     -43.1     0.006179     0.005994
     -43.0     0.006203     0.006038
     -42.9     0.006226     0.006089
     -42.8     0.006248     0.006143
     -42.7     0.006267     0.006199
     -42.6     0.006286     0.006259
     -42.5     0.006303     0.006320
     -42.4     0.006319     0.006388
     -42.3     0.006335     0.006458
     -42.2     0.006350     0.006526
     -42.1     0.006363     0.006596
     -42.0     0.006376     0.006666
     -41.9     0.006388     0.006739
     -41.8     0.006400     0.006811
     -41.7     0.006410     0.006878
     -41.6     0.006419     0.006945
     -41.5     0.006427     0.007008
     -41.4     0.006434     0.007071
     -41.3     0.006441     0.007130
     -41.2     0.006446     0.007183
     -41.1     0.006450     0.007233
     -41.0     0.006453     0.007277
     -40.9     0.006456     0.007319
     -40.8     0.006458     0.007355
     -40.7     0.006460     0.007384
     -40.6     0.006462     0.007408
     -40.5     0.006465     0.007425
     -40.4     0.006468     0.007437
     -40.3     0.006474     0.007442
     -40.2     0.006480     0.007441
     -40.1     0.006489     0.007434
     -40.0     0.006500     0.007420
     -39.9     0.006515     0.007401
     -39.8     0.006532     0.007376
     -39.7     0.006553     0.007347
     -39.6     0.006577     0.007315
     -39.5     0.006605     0.007280
     -39.4     0.006638     0.007242
     -39.3     0.006676     0.007203
     -39.2     0.006717     0.007168
     -39.1     0.006763     0.007134
     -39.0     0.006813     0.007105
     -38.9     0.006871     0.007081
     -38.8     0.006936     0.007064
     -38.7     0.007003     0.007057
     -38.6     0.007080     0.007061
     -38.5     0.007162     0.007076
     -38.4     0.007257     0.007107
     -38.3     0.007362     0.007155
     -38.2     0.007472     0.007217
     -38.1     0.007595     0.007299
     -38.0     0.007727     0.007398
     -37.9     0.007878     0.007525
     -37.8     0.008044     0.007675
     -37.7     0.008215     0.007840
     -37.6     0.008406     0.008035
     -37.5     0.008607     0.008250
     -37.4     0.008836     0.008503
     -37.3     0.009084     0.008786
     -37.2     0.009337     0.009084
     -37.1     0.009617     0.009419
     -37.0     0.009910     0.009776
     -36.9     0.010239     0.010184
     -36.8     0.010593     0.010628
     -36.7     0.010953     0.011085
     -36.6     0.011346     0.011589
     -36.5     0.011754     0.012117
     -36.4     0.012210     0.012712
     -36.3     0.012696     0.013349
     -36.2     0.013185     0.013995
     -36.1     0.013714     0.014699
     -36.0     0.014273     0.015447
     -35.9     0.014861     0.016238
     -35.8     0.015478     0.017073
     -35.7     0.016124     0.017952
     -35.6     0.016816     0.018898
     -35.5     0.017502     0.019839
     -35.4     0.018232     0.020845
     -35.3     0.018989     0.021890
     -35.2     0.019772     0.022973
     -35.1     0.020599     0.024119
     -35.0     0.021410     0.025239
     -34.9     0.022262     0.026416
     -34.8     0.023135     0.027617
     -34.7     0.024025     0.028838
     -34.6     0.024954     0.030106
     -34.5     0.025851     0.031322
     -34.4     0.026782     0.032576
